,mse
"{'function': 'poly', 'order': 2, 'alpha': 0.1, 'sigma': 1}",2.494303010800849
"{'function': 'poly', 'order': 2, 'alpha': 1, 'sigma': 5}",2.5078766456875483
"{'function': 'poly', 'order': 2, 'alpha': 5, 'sigma': 5}",2.553975955856474
"{'function': 'id', 'order': 2, 'alpha': 1, 'sigma': 1}",2.618733922241788
"{'function': 'poly', 'order': 2, 'alpha': 0.1, 'sigma': 0.5}",2.6470254874886003
"{'function': 'id', 'order': 2, 'alpha': 0.5, 'sigma': 0.5}",2.650371501037754
"{'function': 'poly', 'order': 2, 'alpha': 0.5, 'sigma': 5}",2.6616953431986934
"{'function': 'poly', 'order': 2, 'alpha': 0.5, 'sigma': 1}",2.6828791235938256
"{'function': 'id', 'order': 2, 'alpha': 0.5, 'sigma': 1}",2.7314621757699875
"{'function': 'id', 'order': 2, 'alpha': 1, 'sigma': 0.5}",2.7624265605345575
"{'function': 'id', 'order': 2, 'alpha': 5, 'sigma': 1}",2.8034372559355414
"{'function': 'id', 'order': 2, 'alpha': 0.1, 'sigma': 0.5}",2.8049656071564915
"{'function': 'poly', 'order': 2, 'alpha': 1, 'sigma': 1}",2.809949308978951
"{'function': 'id', 'order': 2, 'alpha': 0.1, 'sigma': 0.1}",2.918586338831542
"{'function': 'poly', 'order': 2, 'alpha': 0.5, 'sigma': 0.5}",2.946068635882429
"{'function': 'id', 'order': 2, 'alpha': 5, 'sigma': 0.5}",2.999507975948033
"{'function': 'id', 'order': 2, 'alpha': 0.5, 'sigma': 0.1}",3.0583738901370157
"{'function': 'poly', 'order': 2, 'alpha': 1, 'sigma': 0.5}",3.0601542771378725
"{'function': 'id', 'order': 2, 'alpha': 1, 'sigma': 0.1}",3.0800405325034146
"{'function': 'poly', 'order': 2, 'alpha': 5, 'sigma': 1}",3.087990880569067
"{'function': 'id', 'order': 2, 'alpha': 5, 'sigma': 0.1}",3.098184631119479
"{'function': 'poly', 'order': 2, 'alpha': 0.1, 'sigma': 0.1}",3.14546242068389
"{'function': 'id', 'order': 2, 'alpha': 5, 'sigma': 5}",3.1462528214456
"{'function': 'poly', 'order': 2, 'alpha': 5, 'sigma': 0.5}",3.170354532139668
"{'function': 'poly', 'order': 2, 'alpha': 0.5, 'sigma': 0.1}",3.180511458223896
"{'function': 'poly', 'order': 2, 'alpha': 1, 'sigma': 0.1}",3.182495183440376
"{'function': 'poly', 'order': 2, 'alpha': 5, 'sigma': 0.1}",3.183416783272187
"{'function': 'id', 'order': 2, 'alpha': 0.1, 'sigma': 1}",3.5904181180996604
"{'function': 'id', 'order': 2, 'alpha': 1, 'sigma': 5}",4.090069074917941
"{'function': 'id', 'order': 2, 'alpha': 0.5, 'sigma': 5}",4.310195885681621
"{'function': 'poly', 'order': 2, 'alpha': 0.1, 'sigma': 5}",4.505220316172083
"{'function': 'id', 'order': 2, 'alpha': 0.1, 'sigma': 5}",5.348322388171648
