,mse
"{'function': 'poly', 'order': 2, 'Lambda': 5}",2.333939359023805
"{'function': 'id', 'order': 2, 'Lambda': 5}",2.4644611457388845
"{'function': 'id', 'order': 2, 'Lambda': 2}",2.583382988919728
"{'function': 'poly', 'order': 2, 'Lambda': 2}",2.608982428374892
"{'function': 'id', 'order': 2, 'Lambda': 1}",2.7827240766124373
"{'function': 'poly', 'order': 2, 'Lambda': 1}",2.821005255738111
"{'function': 'id', 'order': 2, 'Lambda': 0.5}",2.9280526299701948
"{'function': 'poly', 'order': 2, 'Lambda': 0.5}",2.986167043199761
"{'function': 'id', 'order': 2, 'Lambda': 0.25}",3.011764656931072
"{'function': 'id', 'order': 2, 'Lambda': 0.1}",3.065602004757736
"{'function': 'poly', 'order': 2, 'Lambda': 0.25}",3.081067559788543
"{'function': 'poly', 'order': 2, 'Lambda': 0.1}",3.141818179114554
