,mse
"{'function': 'id', 'order': 1, 'alpha': 0.1, 'sigma': 0.5}",51.712695307846516
"{'function': 'id', 'order': 1, 'alpha': 0.5, 'sigma': 1}",51.858315689238616
"{'function': 'id', 'order': 1, 'alpha': 5, 'sigma': 5}",52.05472289071459
"{'function': 'id', 'order': 1, 'alpha': 1, 'sigma': 1}",52.904535253465816
"{'function': 'id', 'order': 1, 'alpha': 0.1, 'sigma': 1}",53.43174037746395
"{'function': 'id', 'order': 1, 'alpha': 0.5, 'sigma': 0.5}",54.60509578686404
"{'function': 'id', 'order': 1, 'alpha': 1, 'sigma': 5}",55.64243101396963
"{'function': 'id', 'order': 1, 'alpha': 0.1, 'sigma': 5}",56.04023936230423
"{'function': 'id', 'order': 1, 'alpha': 0.5, 'sigma': 5}",56.712226205918476
"{'function': 'id', 'order': 1, 'alpha': 1, 'sigma': 0.5}",57.16394216986363
"{'function': 'id', 'order': 1, 'alpha': 5, 'sigma': 1}",58.25693287860522
"{'function': 'id', 'order': 1, 'alpha': 0.1, 'sigma': 0.1}",62.68165912386488
"{'function': 'id', 'order': 1, 'alpha': 5, 'sigma': 0.5}",68.38529754813383
"{'function': 'id', 'order': 1, 'alpha': 0.5, 'sigma': 0.1}",75.76106544665367
"{'function': 'id', 'order': 1, 'alpha': 1, 'sigma': 0.1}",79.75354937843365
"{'function': 'id', 'order': 1, 'alpha': 5, 'sigma': 0.1}",84.85076698851452
