,mse
"{'function': 'poly', 'order': 2, 'alpha': 0.1, 'sigma': 1}",2.494303010800849
"{'function': 'poly', 'order': 2, 'alpha': 1, 'sigma': 5}",2.5078766456875483
"{'function': 'poly', 'order': 2, 'alpha': 5, 'sigma': 5}",2.553975955856474
"{'function': 'poly', 'order': 2, 'alpha': 0.1, 'sigma': 0.5}",2.6470254874886003
"{'function': 'poly', 'order': 2, 'alpha': 0.5, 'sigma': 5}",2.6616953431986934
"{'function': 'poly', 'order': 2, 'alpha': 0.5, 'sigma': 1}",2.6828791235938256
"{'function': 'poly', 'order': 2, 'alpha': 1, 'sigma': 1}",2.809949308978951
"{'function': 'poly', 'order': 2, 'alpha': 0.5, 'sigma': 0.5}",2.946068635882429
"{'function': 'poly', 'order': 2, 'alpha': 1, 'sigma': 0.5}",3.0601542771378725
"{'function': 'poly', 'order': 2, 'alpha': 5, 'sigma': 1}",3.087990880569067
"{'function': 'poly', 'order': 2, 'alpha': 0.1, 'sigma': 0.1}",3.14546242068389
"{'function': 'poly', 'order': 2, 'alpha': 5, 'sigma': 0.5}",3.170354532139668
"{'function': 'poly', 'order': 2, 'alpha': 0.5, 'sigma': 0.1}",3.180511458223896
"{'function': 'poly', 'order': 2, 'alpha': 1, 'sigma': 0.1}",3.182495183440376
"{'function': 'poly', 'order': 2, 'alpha': 5, 'sigma': 0.1}",3.183416783272187
"{'function': 'poly', 'order': 2, 'alpha': 0.1, 'sigma': 5}",4.505220316172083
