,mse
"{'function': 'poly', 'order': 5, 'alpha': 0.5, 'sigma': 0.5}",0.40760022370429927
"{'function': 'poly', 'order': 5, 'alpha': 1, 'sigma': 0.5}",0.4078268645961314
"{'function': 'poly', 'order': 5, 'alpha': 5, 'sigma': 1}",0.40793877694623676
"{'function': 'poly', 'order': 5, 'alpha': 0.1, 'sigma': 0.1}",0.40823651820265305
"{'function': 'poly', 'order': 5, 'alpha': 5, 'sigma': 0.5}",0.4084254271286213
"{'function': 'poly', 'order': 5, 'alpha': 0.5, 'sigma': 0.1}",0.4085527822950181
"{'function': 'poly', 'order': 5, 'alpha': 1, 'sigma': 0.1}",0.40859769688168635
"{'function': 'poly', 'order': 5, 'alpha': 1, 'sigma': 1}",0.40863257088367383
"{'function': 'poly', 'order': 5, 'alpha': 5, 'sigma': 0.1}",0.4086345432132601
"{'function': 'poly', 'order': 5, 'alpha': 0.5, 'sigma': 1}",0.4156025445076761
"{'function': 'poly', 'order': 5, 'alpha': 0.1, 'sigma': 0.5}",0.4209914850288075
"{'function': 'poly', 'order': 5, 'alpha': 5, 'sigma': 5}",0.45915793875300354
"{'function': 'poly', 'order': 5, 'alpha': 0.1, 'sigma': 1}",0.5579037168224614
"{'function': 'poly', 'order': 5, 'alpha': 1, 'sigma': 5}",0.8562865226317763
"{'function': 'poly', 'order': 5, 'alpha': 0.5, 'sigma': 5}",1.2381211121162319
"{'function': 'poly', 'order': 5, 'alpha': 0.1, 'sigma': 5}",2.895877513727825
