,mse
"{'function': 'poly', 'order': 10, 'alpha': 0.1, 'sigma': 1}",2.876626237242772
"{'function': 'poly', 'order': 10, 'alpha': 5, 'sigma': 5}",3.043253600619979
"{'function': 'poly', 'order': 10, 'alpha': 1, 'sigma': 5}",3.4979950200920236
"{'function': 'poly', 'order': 10, 'alpha': 0.1, 'sigma': 0.5}",3.890454630882721
"{'function': 'poly', 'order': 10, 'alpha': 0.5, 'sigma': 1}",4.351475446188707
"{'function': 'poly', 'order': 10, 'alpha': 0.5, 'sigma': 5}",4.518810871775002
"{'function': 'poly', 'order': 10, 'alpha': 1, 'sigma': 1}",6.548096165225436
"{'function': 'poly', 'order': 10, 'alpha': 0.1, 'sigma': 5}",7.66952529392551
"{'function': 'poly', 'order': 10, 'alpha': 5, 'sigma': 0.1}",9.57370411649488
"{'function': 'poly', 'order': 10, 'alpha': 0.5, 'sigma': 0.5}",9.983812219923147
"{'function': 'poly', 'order': 10, 'alpha': 1, 'sigma': 0.1}",13.490944054661398
"{'function': 'poly', 'order': 10, 'alpha': 1, 'sigma': 0.5}",14.030015019568783
"{'function': 'poly', 'order': 10, 'alpha': 5, 'sigma': 1}",15.226051289206877
"{'function': 'poly', 'order': 10, 'alpha': 0.5, 'sigma': 0.1}",15.919385652290567
"{'function': 'poly', 'order': 10, 'alpha': 0.1, 'sigma': 0.1}",17.82521114410567
"{'function': 'poly', 'order': 10, 'alpha': 5, 'sigma': 0.5}",18.187993368834697
